参数名,分类
--trace-ignition-dispatches-output-file,Ignition
--trace-track-allocation-sites,GC/Memory
--trace-migration,GC/Memory
--trace-generalization,GC/Memory
--reuse-scope-infos,Compiler/Tier Manager
--sparkplug,Sparkplug
--always-sparkplug,Sparkplug
--baseline-batch-compilation,Sparkplug
--concurrent-sparkplug,Sparkplug
--concurrent-sparkplug-max-threads,Sparkplug
--concurrent-sparkplug-high-priority-threads,Sparkplug
--sparkplug-filter,Sparkplug
--sparkplug-needs-short-builtins,Sparkplug
--baseline-batch-compilation-threshold,Sparkplug
--trace-baseline,Sparkplug
--trace-baseline-batch-compilation,Sparkplug
--shared-strings,Data
--shared-string-table,Data
--always-use-string-forwarding-table,Data
--transition-strings-during-gc-with-stack,GC/Memory
--initial-shared-heap-size,GC/Memory
--max-shared-heap-size,GC/Memory
--concurrent-builtin-generation,Compiler/Tier Manager
--concurrent-recompilation,Compiler/Tier Manager
--trace-concurrent-recompilation,Compiler/Tier Manager
--concurrent-recompilation-queue-length,Compiler/Tier Manager
--concurrent-recompilation-delay,Testing/Fuzzing
--concurrent-recompilation-front-running,Compiler/Tier Manager
--concurrent-turbofan-max-threads,Turbofan
--stress-concurrent-inlining,Testing/Fuzzing
--maglev-overwrite-budget,Maglev
--maglev-overwrite-osr-budget,Maglev
--stress-concurrent-inlining-attach-code,Testing/Fuzzing
--max-serializer-nesting,Compiler/Tier Manager
--trace-heap-broker-verbose,Turbofan
--trace-heap-broker,Turbofan
--stress-runs,Testing/Fuzzing
--deopt-every-n-times,Testing/Fuzzing
--print-deopt-stress,Testing/Fuzzing
--turbofan,Turbofan
--opt,Turbofan
--stress-turbo-late-spilling,Testing/Fuzzing
--turbo-wasm-address-reassociation,Wasm
--concurrent-turbo-tracing,Turbofan
--optimize-maglev-optimizes-to-turbofan,Turbofan
--turbo-filter,Turbofan
--trace-turbo,Turbofan
--trace-turbo-path,Turbofan
--trace-turbo-filter,Turbofan
--trace-turbo-graph,Turbofan
--trace-turbo-scheduled,Turbofan
--trace-turbo-file-prefix,Turbofan
--trace-turbo-cfg-file,Turbofan
--trace-turbo-types,Turbofan
--trace-turbo-scheduler,Turbofan
--trace-turbo-reduction,Turbofan
--trace-turbo-bailouts,Turbofan
--trace-turbo-trimming,Turbofan
--trace-turbo-jt,Turbofan
--trace-turbo-ceq,Turbofan
--trace-turbo-loop,Turbofan
--trace-turbo-alloc,Turbofan
--trace-all-uses,Turbofan
--trace-representation,Turbofan
--trace-turbo-stack-accesses,Turbofan
--fuzzing-and-concurrent-recompilation,Testing/Fuzzing
--turbo-verify,Turbofan
--turbo-verify-machine-graph,Turbofan
--verify-csa,Turbofan
--trace-verify-csa,Turbofan
--csa-trap-on-node,Turbofan
--builtins-effects-src,Compiler/Tier Manager
--fixed-array-bounds-checks,Optimization
--turbo-stats,Turbofan
--turbo-stats-nvp,Turbofan
--turbo-stats-wasm,Turbofan
--turbo-splitting,Turbofan
--turbo-inlining,Turbofan
--turbo-elide-frames,Turbofan
--max-inlined-bytecode-size,Turbofan
--max-inlined-bytecode-size-cumulative,Turbofan
--max-turbolev-inlined-bytecode-size-cumulative,Turbolev
--max-inlined-bytecode-size-absolute,Turbofan
--max-inlined-bytecode-size-small-total,Turbofan
--reserve-inline-budget-scale-factor,Turbofan
--max-inlined-bytecode-size-small,Turbofan
--max-inlined-bytecode-size-small-with-heapnum-in-out,Turbofan
--max-optimized-bytecode-size,Turbofan
--min-inlining-frequency,Turbofan
--stress-inline,Testing/Fuzzing
--trace-turbo-inlining,Turbofan
--turbo-inline-array-builtins,Turbofan
--use-osr,Compiler/Tier Manager
--maglev-osr,Maglev
--concurrent-osr,Compiler/Tier Manager
--maglev-allocation-folding,Maglev
--maglev-escape-analysis,Maglev
--trace-maglev-escape-analysis,Maglev
--maglev-object-tracking,Maglev
--trace-maglev-object-tracking,Maglev
--turbo-string-builder,Turbofan
--trace-osr,Trace/Debug
--log-or-trace-osr,Trace/Debug
--analyze-environment-liveness,Compiler/Tier Manager
--trace-environment-liveness,Trace/Debug
--turbo-load-elimination,Turbofan
--trace-turbo-load-elimination,Turbofan
--turbo-profiling,Turbofan
--turbo-profiling-verbose,Turbofan
--turbo-profiling-output,Turbofan
--reorder-builtins,Compiler/Tier Manager
--abort-on-bad-builtin-profile-data,Compiler/Tier Manager
--warn-about-builtin-profile-data,Compiler/Tier Manager
--dump-builtins-hashes-to-file,Compiler/Tier Manager
--turbo-verify-allocation,Turbofan
--turbo-move-optimization,Turbofan
--turbo-jt,Turbofan
--turbo-loop-peeling,Turbofan
--turbo-loop-variable,Turbofan
--turbo-loop-rotation,Turbofan
--turbo-cf-optimization,Turbofan
--turbo-escape,Turbofan
--turbo-allocation-folding,Turbofan
--turbo-instruction-scheduling,Turbofan
--turbo-stress-instruction-scheduling,Testing/Fuzzing
--turbo-store-elimination,Turbofan
--trace-store-elimination,Trace/Debug
--turbo-typer-hardening,Turbofan
--turbo-rewrite-far-jumps,Turbofan
--stress-gc-during-compilation,Testing/Fuzzing
--turbo-fast-api-calls,Turbofan
--fast-api-allow-float-in-sim,Turbofan
--turbo-compress-frame-translations,Turbofan
--turbo-inline-js-wasm-calls,Wasm
--turbo-optimize-inlined-js-wasm-wrappers,Wasm
--turbo-optimize-apply,Turbofan
--turbo-optimize-math-minmax,Turbofan
--turboshaft,Turboshaft
--turboshaft-enable-debug-features,Turboshaft
--turboshaft-wasm-load-elimination,Wasm
--turboshaft-wasm-in-js-inlining,Wasm
--turbolev-inline-js-wasm-wrappers,Turbolev
--turboshaft-load-elimination,Turboshaft
--turboshaft-loop-unrolling,Turboshaft
--turboshaft-string-concat-escape-analysis,Turboshaft
--turboshaft-typed-optimizations,Turboshaft
--turbolev,Turbolev
--print-turbolev-frontend,Turbolev
--turbolev-future,Turbolev
--typed-array-length-loading,Optimization
--deduplicate-heap-number-requests,Data
--turboshaft-verify-load-elimination,Turboshaft
--turboshaft-opt-bisect-limit,Turboshaft
--turboshaft-opt-bisect-break,Turboshaft
--turboshaft-verify-reductions,Turboshaft
--turboshaft-trace-typing,Turboshaft
--turboshaft-trace-reduction,Turboshaft
--turboshaft-trace-intermediate-reductions,Turboshaft
--turboshaft-trace-emitted,Turboshaft
--turboshaft-trace-unrolling,Turboshaft
--turboshaft-trace-peeling,Turboshaft
--turboshaft-trace-load-elimination,Turboshaft
--turboshaft-trace-if-else-to-switch,Turboshaft
--trace-turbolev-graph-building,Turbolev
--profile-guided-optimization,Optimization
--profile-guided-optimization-for-empty-feedback-vector,Optimization
--invocation-count-for-early-optimization,Compiler/Tier Manager
--invocation-count-for-maglev-with-delay,Compiler/Tier Manager
--optimize-for-size,Optimization
--reopt-after-lazy-deopts,Compiler/Tier Manager
--verify-get-js-builtin-state,Trace/Debug
--wasm-generic-wrapper,Wasm
--wasm-num-compilation-tasks,Wasm
--trace-wasm-native-heap,Wasm
--trace-wasm-offheap-memory,Wasm
--print-wasm-offheap-memory-size,Wasm
--trace-wasm-serialization,Wasm
--wasm-async-compilation,Wasm
--wasm-test-streaming,Testing/Fuzzing
--wasm-native-module-cache,Wasm
--wasm-max-mem-pages,Wasm
--wasm-max-table-size,Wasm
--wasm-max-committed-code-mb,Wasm
--wasm-max-code-space-size-mb,Wasm
--wasm-tier-up,Wasm
--wasm-dynamic-tiering,Wasm
--wasm-sync-tier-up,Wasm
--wasm-tiering-budget,Wasm
--wasm-wrapper-tiering-budget,Wasm
--max-wasm-functions,Wasm
--wasm-caching-threshold,Wasm
--wasm-caching-hard-threshold,Wasm
--wasm-caching-timeout-ms,Wasm
--trace-wasm-compilation-times,Wasm
--wasm-tier-up-filter,Wasm
--wasm-eager-tier-up-function,Wasm
--trace-wasm-decoder,Wasm
--trace-wasm-compiler,Wasm
--trace-wasm-streaming,Wasm
--trace-wasm-stack-switching,Wasm
--stress-wasm-stack-switching,Testing/Fuzzing
--wasm-stack-switching-stack-size,Wasm
--liftoff,Wasm
--liftoff-only,Wasm
--enable-testing-opcode-in-wasm,Testing/Fuzzing
--trace-liftoff,Wasm
--trace-wasm-memory,Wasm
--trace-wasm-globals,Wasm
--wasm-tier-mask-for-testing,Testing/Fuzzing
--wasm-debug-mask-for-testing,Testing/Fuzzing
--experimental-wasm-pgo-to-file,Wasm
--experimental-wasm-pgo-from-file,Wasm
--validate-asm,Wasm
--suppress-asm-messages,Wasm
--trace-asm-time,Wasm
--trace-asm-scanner,Wasm
--trace-asm-parser,Wasm
--stress-validate-asm,Testing/Fuzzing
--dump-wasm-module,Wasm
--dump-wasm-module-path,Wasm
--wasm-fast-api,Wasm
--wasm-assert-types,Wasm
--wasm-deopt,Wasm
--wasm-deopts-per-function-limit,Wasm
--experimental-wasm-type-reflection,Wasm
--experimental-wasm-instruction-tracing,Wasm
--experimental-wasm-shared,Wasm
--experimental-wasm-fp16,Wasm
--experimental-wasm-memory-control,Wasm
--experimental-wasm-wasmfx,Wasm
--experimental-wasm-compilation-hints,Wasm
--experimental-wasm-growable-stacks,Wasm
--experimental-wasm-custom-descriptors,Wasm
--experimental-wasm-stringref,Wasm
--experimental-wasm-imported-strings-utf8,Wasm
--experimental-wasm-rab-integration,Wasm
--experimental-wasm-legacy-eh,Wasm
--experimental-wasm-branch-hinting,Wasm
--experimental-wasm-exnref,Wasm
--experimental-wasm-assume-ref-cast-succeeds,Testing/Fuzzing
--experimental-wasm-ref-cast-nop,Testing/Fuzzing
--experimental-wasm-skip-null-checks,Testing/Fuzzing
--experimental-wasm-skip-bounds-checks,Testing/Fuzzing
--experimental-wasm-js-interop,Wasm
--wasm-staging,Wasm
--wasm-opt,Wasm
--wasm-bounds-checks,Wasm
--wasm-stack-checks,Wasm
--wasm-enforce-bounds-checks,Wasm
--wasm-math-intrinsics,Wasm
--wasm-inlining,Wasm
--wasm-inlining-budget,Wasm
--wasm-inlining-max-size,Wasm
--wasm-inlining-factor,Wasm
--wasm-inlining-min-budget,Wasm
--wasm-inlining-ignore-call-counts,Testing/Fuzzing
--trace-wasm-inlining,Wasm
--trace-wasm-typer,Wasm
--trace-wasm-simd-shuffle,Wasm
--wasm-inlining-call-indirect,Wasm
--wasm-bulkmem-inlining,Wasm
--wasm-loop-unrolling,Wasm
--wasm-loop-peeling,Wasm
--wasm-loop-peeling-max-size,Wasm
--trace-wasm-loop-peeling,Wasm
--wasm-fuzzer-gen-test,Testing/Fuzzing
--print-wasm-code,Wasm
--print-wasm-code-function-index,Wasm
--print-wasm-stub-code,Wasm
--asm-wasm-lazy-compilation,Wasm
--wasm-lazy-compilation,Wasm
--trace-wasm-lazy-compilation,Wasm
--wasm-lazy-validation,Wasm
--wasm-simd-ssse3-codegen,Wasm
--wasm-code-gc,Wasm
--trace-wasm-code-gc,Wasm
--stress-wasm-code-gc,Testing/Fuzzing
--wasm-max-initial-code-space-reservation,Wasm
--stress-wasm-memory-moving,Testing/Fuzzing
--flush-liftoff-code,Wasm
--stress-branch-hinting,Testing/Fuzzing
--wasm-max-module-size,Wasm
--wasm-disassembly-max-mb,Wasm
--wasm-capi-thread-pool-size,Wasm
--trace-wasm,Wasm
--trace-wasm-instances,Wasm
--experimental-wasm-revectorize,Wasm
--trace-wasm-revectorize,Wasm
--wasm-memory64-trap-handling,Wasm
--wasm-jitless,Wasm
--wasm-jitless-if-available-for-testing,Testing/Fuzzing
--wasm-allow-mixed-eh-for-testing,Testing/Fuzzing
--wasm-code-coverage,Wasm
--stress-sampling-allocation-profiler,Trace/Debug
--lazy-new-space-shrinking,GC/Memory
--min-semi-space-size,GC/Memory
--max-semi-space-size,GC/Memory
--semi-space-growth-factor,GC/Memory
--max-old-space-size,GC/Memory
--max-heap-size,GC/Memory
--initial-heap-size,GC/Memory
--initial-old-space-size,GC/Memory
--preconfigured-old-space-size,GC/Memory
--gc-global,GC/Memory
--random-gc-interval,Testing/Fuzzing
--gc-interval,GC/Memory
--cppgc-random-gc-interval,Testing/Fuzzing
--retain-maps-for-n-gc,GC/Memory
--trace-gc,GC/Memory
--trace-gc-nvp,GC/Memory
--trace-gc-ignore-scavenger,GC/Memory
--trace-memory-reducer,GC/Memory
--trace-gc-verbose,GC/Memory
--trace-gc-freelists,GC/Memory
--trace-gc-freelists-verbose,GC/Memory
--trace-gc-heap-layout,GC/Memory
--trace-gc-heap-layout-ignore-minor-gc,GC/Memory
--trace-evacuation-candidates,GC/Memory
--trace-pending-allocations,GC/Memory
--trace-allocation-stack-interval,GC/Memory
--trace-duplicate-threshold-kb,GC/Memory
--trace-fragmentation,GC/Memory
--trace-fragmentation-verbose,GC/Memory
--minor-ms-trace-fragmentation,GC/Memory
--trace-evacuation,GC/Memory
--trace-mutator-utilization,GC/Memory
--incremental-marking,GC/Memory
--incremental-marking-task,GC/Memory
--incremental-marking-soft-trigger,GC/Memory
--incremental-marking-hard-trigger,GC/Memory
--incremental-marking-unified-schedule,GC/Memory
--trace-unmapper,GC/Memory
--parallel-scavenge,GC/Memory
--minor-gc-task,GC/Memory
--minor-gc-task-trigger,GC/Memory
--minor-gc-task-with-lower-priority,GC/Memory
--trace-parallel-scavenge,GC/Memory
--cppgc-young-generation,GC/Memory
--optimize-gc-for-battery,GC/Memory
--concurrent-marking,GC/Memory
--concurrent-marking-max-worker-num,GC/Memory
--concurrent-array-buffer-sweeping,GC/Memory
--stress-concurrent-allocation,Testing/Fuzzing
--parallel-marking,GC/Memory
--ephemeron-fixpoint-iterations,GC/Memory
--trace-concurrent-marking,GC/Memory
--concurrent-sweeping,GC/Memory
--parallel-compaction,GC/Memory
--parallel-pointer-update,GC/Memory
--parallel-weak-ref-clearing,GC/Memory
--detect-ineffective-gcs-near-heap-limit,GC/Memory
--ineffective-gc-includes-global,GC/Memory
--ineffective-gcs-forces-last-resort,GC/Memory
--ineffective-gc-size-threshold,GC/Memory
--ineffective-gc-mutator-utilization-threshold,GC/Memory
--trace-incremental-marking,GC/Memory
--trace-stress-marking,Testing/Fuzzing
--trace-stress-scavenge,Testing/Fuzzing
--track-gc-object-stats,GC/Memory
--trace-gc-object-stats,GC/Memory
--trace-zone-stats,GC/Memory
--zone-stats-tolerance,GC/Memory
--trace-zone-type-stats,GC/Memory
--trace-backing-store,GC/Memory
--gc-stats,GC/Memory
--trace-gc-object-stats-all-objects,GC/Memory
--track-detached-contexts,GC/Memory
--trace-detached-contexts,GC/Memory
--verify-heap,GC/Memory
--verify-heap-skip-remembered-set,GC/Memory
--verify-write-barriers,GC/Memory
--memory-reducer-respects-frozen-state,GC/Memory
--move-object-start,GC/Memory
--memory-reducer,GC/Memory
--memory-reducer-favors-memory,GC/Memory
--memory-reducer-for-small-heaps,GC/Memory
--memory-reducer-gc-count,GC/Memory
--external-memory-accounted-in-global-limit,GC/Memory
--external-memory-max-growing-factor,GC/Memory
--gc-speed-uses-counters,GC/Memory
--heap-growing-percent,GC/Memory
--v8-os-page-size,Generic
--allocation-buffer-parking,GC/Memory
--compact,GC/Memory
--compact-code-space,GC/Memory
--compact-on-every-full-gc,GC/Memory
--compact-with-stack,GC/Memory
--shortcut-strings-with-stack,GC/Memory
--stress-compaction,Testing/Fuzzing
--resize-large-object,GC/Memory
--stress-compaction-random,Testing/Fuzzing
--flush-baseline-code,Compiler/Tier Manager
--flush-bytecode,Compiler/Tier Manager
--bytecode-old-age,Compiler/Tier Manager
--flush-code-based-on-time,Compiler/Tier Manager
--flush-code-based-on-tab-visibility,Compiler/Tier Manager
--bytecode-old-time,Compiler/Tier Manager
--stress-flush-code,Testing/Fuzzing
--trace-flush-code,Compiler/Tier Manager
--use-marking-progress-bar,GC/Memory
--stress-per-context-marking-worklist,Testing/Fuzzing
--stress-incremental-marking,Testing/Fuzzing
--memory-pool,GC/Memory
--memory-pool-share-memory-on-teardown,GC/Memory
--memory-pool-release-before-memory-pressure-gcs,GC/Memory
--memory-pool-release-on-malloc-failures,GC/Memory
--large-page-pool,GC/Memory
--max-large-page-pool-size,GC/Memory
--page-pool-timeout,GC/Memory
--managed-zone-memory,GC/Memory
--fuzzer-gc-analysis,Testing/Fuzzing
--stress-marking,Testing/Fuzzing
--stress-scavenge,Testing/Fuzzing
--reclaim-unmodified-wrappers,GC/Memory
--parallel-reclaim-unmodified-wrappers,GC/Memory
--gc-experiment-less-compaction,GC/Memory
--gc-memory-reducer-start-delay-ms,GC/Memory
--concurrent-marking-high-priority-threads,GC/Memory
--disable-abortjs,Generic
--randomize-all-allocations,Testing/Fuzzing
--manual-evacuation-candidates-selection,Testing/Fuzzing
--clear-free-memory,GC/Memory
--idle-gc-on-context-disposal,GC/Memory
--trace-context-disposal,Trace/Debug
--cppheap-incremental-marking,GC/Memory
--cppheap-concurrent-marking,GC/Memory
--memory-balancer,GC/Memory
--memory-balancer-c-value,GC/Memory
--trace-memory-balancer,GC/Memory
--late-heap-limit-check,GC/Memory
--reserve-contiguous-compressed-read-only-space,GC/Memory
--debug-code,Trace/Debug
--trap-on-abort,Trace/Debug
--slow-debug-code,Trace/Debug
--code-comments,Print
--enable-sse3,Generic
--enable-ssse3,Generic
--enable-sse4-1,Generic
--enable-sse4-2,Generic
--enable-sahf,Generic
--enable-avx,Generic
--enable-avx2,Generic
--enable-avx-vnni,Generic
--enable-avx-vnni-int8,Generic
--enable-fma3,Generic
--enable-f16c,Generic
--enable-bmi1,Generic
--enable-bmi2,Generic
--enable-lzcnt,Generic
--enable-popcnt,Generic
--arm-arch,Generic
--force-long-branches,Generic
--mcpu,Generic
--partial-constant-pool,Generic
--sim-arm64-optional-features,Testing/Fuzzing
--intel-jcc-erratum-mitigation,Generic
--enable-source-at-csa-bind,Compiler/Tier Manager
--enable-armv7,Generic
--enable-vfp3,Generic
--enable-32dregs,Generic
--enable-neon,Generic
--enable-sudiv,Generic
--enable-armv8,Generic
--enable-regexp-unaligned-accesses,Optimization
--script-streaming,Compiler/Tier Manager
--stress-background-compile,Testing/Fuzzing
--concurrent-cache-deserialization,Compiler/Tier Manager
--merge-background-deserialized-script-with-compilation-cache,Compiler/Tier Manager
--verify-code-merge,Compiler/Tier Manager
--experimental-embedder-instance-types,Generic
--expose-gc,Print
--expose-gc-as,Print
--expose-externalize-string,Print
--expose-statistics,Print
--expose-trigger-failure,Print
--expose-ignition-statistics,Ignition
--stack-trace-limit,Generic
--builtins-in-stack-traces,Generic
--experimental-stack-trace-frames,Generic
--disallow-code-generation-from-strings,Generic
--expose-async-hooks,Print
--expose-cputracemark-as,Print
--experimental-report-exceptions-from-callbacks,Generic
--allow-unsafe-function-constructor,Generic
--force-slow-path,Testing/Fuzzing
--test-small-max-function-context-stub-size,Testing/Fuzzing
--inline-new,Optimization
--switch-table-spread-threshold,Optimization
--switch-table-min-cases,Optimization
--stress-lazy-compilation,Testing/Fuzzing
--trace,Trace/Debug
--lazy,Compiler/Tier Manager
--lazy-eval,Compiler/Tier Manager
--lazy-streaming,Compiler/Tier Manager
--max-lazy,Compiler/Tier Manager
--trace-opt,Compiler/Tier Manager
--trace-opt-status,Compiler/Tier Manager
--trace-opt-verbose,Compiler/Tier Manager
--trace-opt-stats,Compiler/Tier Manager
--trace-deopt,Compiler/Tier Manager
--log-deopt,Compiler/Tier Manager
--trace-deopt-verbose,Compiler/Tier Manager
--trace-file-names,Compiler/Tier Manager
--always-osr,Compiler/Tier Manager
--trace-serializer,Compiler/Tier Manager
--external-reference-stats,Compiler/Tier Manager
--compilation-cache,Compiler/Tier Manager
--cache-prototype-transitions,Optimization
--lazy-compile-dispatcher,Compiler/Tier Manager
--lazy-compile-dispatcher-max-threads,Compiler/Tier Manager
--trace-compiler-dispatcher,Compiler/Tier Manager
--parallel-compile-tasks-for-eager-toplevel,Compiler/Tier Manager
--parallel-compile-tasks-for-lazy,Compiler/Tier Manager
--cpu-profiler-sampling-interval,Print
--trace-side-effect-free-debug-evaluate,Testing/Fuzzing
--hard-abort,Generic
--log-colour,Print
--expose-inspector-scripts,Print
--inspector-live-edit,Trace/Debug
--stack-size,Generic
--max-stack-trace-source-length,Print
--clear-exceptions-on-js-entry,Generic
